Entity,Code,Day,unvaccinated,vaccinated_with,vaccinated_without
12-17,,2022-07-30,0,,0
12-17,,2022-08-06,0.0495281576,,0
12-17,,2022-08-13,0,,0
12-17,,2022-08-20,0.0497837562,,0
12-17,,2022-08-27,0.0249430572,,0
12-17,,2022-09-03,0,,0.0162002034
12-17,,2022-09-10,0,,0
12-17,,2022-09-17,0.0751213087,,0
12-17,,2022-09-24,0.0257240176,0,0
12-17,,2022-10-01,0.0502111927,0,0
12-17,,2022-10-08,0,0,0
12-17,,2022-10-15,0.0251589818,0,0
12-17,,2022-10-22,0,0,0
12-17,,2022-10-29,0,0,0
12-17,,2022-11-05,0.0252349331,0,0
12-17,,2022-11-12,0,0,0
12-17,,2022-11-19,0,0,0
12-17,,2022-11-26,0.0253082184,0,0
12-17,,2022-12-03,0.0759758788,0,0.0171160339
12-17,,2022-12-10,0,0,0
12-17,,2022-12-17,0,0,0.0173015709
12-17,,2022-12-24,0.0253847526,0,0
12-17,,2022-12-31,0.050804442,0,0
12-17,,2023-01-07,0.0508308732,0,0
12-17,,2023-01-14,0.0254331478,0,0
12-17,,2023-01-21,0,0,0
12-17,,2023-01-28,0,0,0
12-17,,2023-02-04,0,0,0
12-17,,2023-02-11,0,0,0
12-17,,2023-02-18,0.0255060876,0,0
12-17,,2023-02-25,0,0,0
12-17,,2023-03-04,0,0,0
12-17,,2023-03-11,0,0,0
12-17,,2023-03-18,0.0255583434,0,0
12-17,,2023-03-25,0,0,0
12-17,,2023-04-01,0,0,0
18-29,,2021-10-09,0.252440978,,0
18-29,,2021-10-16,0.3065938527,,0.0181708463
18-29,,2021-10-23,0.2687457111,,0.0178957129
18-29,,2021-10-30,0.2090481036,,0.0088334072
18-29,,2021-11-06,0.2324817351,,0
18-29,,2021-11-13,0.2243283449,,0
18-29,,2021-11-20,0.3566728133,,0.0171635692
18-29,,2021-11-27,0.3943958972,,0.008517474
18-29,,2021-12-04,0.3211426121,,0.0084567791
18-29,,2021-12-11,0.1798843636,,0.0167997261
18-29,,2021-12-18,0.3422593039,,0.0083548233
18-29,,2021-12-25,0.3369916292,,0.0331879508
18-29,,2022-01-01,0.4010795646,,0.1153813853
18-29,,2022-01-08,0.5193397611,,0.0780117732
18-29,,2022-01-15,0.5407831622,,0.1319216783
18-29,,2022-01-22,0.4558418171,,0.0925827914
18-29,,2022-01-29,0.2837512188,,0.0920090098
18-29,,2022-02-05,0.2267569515,,0.022883969
18-29,,2022-02-12,0.180325167,,0.0075910057
18-29,,2022-02-19,0.1331578644,,0.0151012497
18-29,,2022-02-26,0.0730373099,,0.0150266674
18-29,,2022-03-05,0.0244668716,,0
18-29,,2022-03-12,0.0737078331,,0
18-29,,2022-03-19,0.0493236467,,0.0074302535
18-29,,2022-03-26,0.024754643,,0.007411754
18-29,,2022-04-02,0.0248390108,,0.007394869
18-29,,2022-04-09,0.012459495,,0.0147624094
18-29,,2022-04-16,0.0749972115,,0
18-29,,2022-04-23,0.0125371626,,0
18-29,,2022-04-30,0.012571909,,0
18-29,,2022-05-07,0.0252109036,,0.007340408
18-29,,2022-05-14,0.0505560377,,0.0073316567
18-29,,2022-05-21,0.0126743878,,0
18-29,,2022-05-28,0.0381281205,,0.0146297356
18-29,,2022-06-04,0.0254777413,,0.0146137075
18-29,,2022-06-11,0.0255448315,,0.014598391
18-29,,2022-06-18,0.0768286619,,0.0072924764
18-29,,2022-06-25,0.1155168311,,0.0072848381
18-29,,2022-07-02,0.0900629385,,0.0145551001
18-29,,2022-07-09,0.0386753913,,0.0072709035
18-29,,2022-07-16,0.1033959034,,0.0217926899
18-29,,2022-07-23,0.0777481699,,0.0145166904
18-29,,2022-07-30,0.0389662997,,0
18-29,,2022-08-06,0.0651005942,,0.007245227
18-29,,2022-08-13,0.0783120981,,0.0144781716
18-29,,2022-08-20,0.0654117257,,0.0216983313
18-29,,2022-08-27,0.0655491545,,0
18-29,,2022-09-03,0.0525412119,,0
18-29,,2022-09-10,0.0657647128,,0.021643649
18-29,,2022-09-17,0.0395160941,,0.0216285131
18-29,,2022-09-24,0.0268949602,0,0.0074331293
18-29,,2022-10-01,0.0132071061,0,0.0072355837
18-29,,2022-10-08,0.0528901949,0,0.0072644801
18-29,,2022-10-15,0.0661865718,0,0.0145969025
18-29,,2022-10-22,0.0265058277,0,0
18-29,,2022-10-29,0.0132684991,0,0.0073746226
18-29,,2022-11-05,0.0531304639,0,0.007415713
18-29,,2022-11-12,0.0664821702,0,0.0149134713
18-29,,2022-11-19,0.0532437174,0,0.0074941093
18-29,,2022-11-26,0.0133222963,0,0.0150638572
18-29,,2022-12-03,0.0533208388,0,0.022696227
18-29,,2022-12-10,0.1067694579,0,0.0075979874
18-29,,2022-12-17,0.0534428595,0,0.0304719674
18-29,,2022-12-24,0.0133754813,0.090391313,0.0229243614
18-29,,2022-12-31,0.0803266677,0,0.0153332702
18-29,,2023-01-07,0.0670025599,0,0.0153855006
18-29,,2023-01-14,0.0268308736,0,0.0077082085
18-29,,2023-01-21,0,0,0.0154482181
18-29,,2023-01-28,0.0403233045,0,0.0154814962
18-29,,2023-02-04,0.0538062078,0,0
